anio,conglome,viession,hoession,ubigeo,departamento,provincia,dominio,mieperho,factor07,factor_pob,gashog2d,gasto_pc,linea,linpe,pobre,pobre_extremo,categoria_pobreza,inghog1d
2024,329,2,4,150132,15,1501,Costa rural,4,443.1447619322632,1772.5790477290527,31654.640634631072,659.4716798881474,446.48963055724977,255.11855481162857,0,0,No pobre,238513.11293028021
2022,231,10,3,210101,21,2101,Selva rural,6,631.1165465628085,3786.699279376851,27971.17280603188,388.4885111948872,469.3059912436057,238.6750165885087,1,0,Pobre no extremo,47610.13352944775
2024,499,10,2,010201,01,0102,Costa rural,3,732.0088691272489,2196.0266073817465,26467.441730908628,735.2067147474619,420.0573750776772,250.42340865538907,0,0,No pobre,37488.08728512403
2022,403,11,3,210101,21,2101,Costa rural,6,1158.1730207333887,6949.038124400333,13072.401989832035,181.56113874766714,417.32881636761584,210.97707252786296,1,1,Pobre extremo,10636.77221438214
2022,38,6,3,250101,25,2501,Costa rural,3,188.09952074593525,564.2985622378058,10835.879168586735,300.9966435718537,383.16888495413195,261.0433494979434,1,0,Pobre no extremo,6252.234102653059
2024,70,4,3,210101,21,2101,Costa rural,2,1837.282346718901,3674.564693437802,19726.972147407487,821.9571728086453,426.27253766696583,254.13274853101234,0,0,No pobre,7274.554306661607
2025,116,12,2,210101,21,2101,Callao,3,287.48222765611087,862.4466829683327,13268.91828149467,368.58106337485196,452.4070770329109,262.358723983823,1,0,Pobre no extremo,61737.39293281033
2022,239,11,3,250101,25,2501,Sierra rural,4,630.6194487900661,2522.4777951602646,26602.79473428509,554.2248902976061,410.11787176262163,223.87672578602294,0,0,No pobre,6152.254379261496
2022,335,13,4,250101,25,2501,Selva urbana,3,307.64613211063653,922.9383963319096,18911.453420570302,525.3181505713973,426.2726513673841,219.29936366982724,0,0,No pobre,70148.63398967849
2024,441,5,3,050101,05,0501,Sierra rural,4,587.6783703987543,2350.713481595017,27342.784239978835,569.6413383328924,401.9397768485278,210.62120079467488,0,0,No pobre,12120.866609867615
2022,148,6,4,250101,25,2501,Lima Metropolitana,3,1691.580255356736,5074.740766070208,24745.40112189228,687.3722533858967,457.27878058714606,265.1061955562898,0,0,No pobre,42600.11753508445
2022,9,1,4,040101,04,0401,Selva urbana,5,1268.8340416281603,6344.170208140802,131760.70328457066,2196.0117214095108,386.0511561341147,212.37804424904886,0,0,No pobre,24157.310531531304
2024,288,6,2,150101,15,1501,Sierra rural,3,531.9141276700133,1595.7423830100397,7726.592405441901,214.6275668178306,450.53830550004983,208.35220635980536,1,0,Pobre no extremo,12573.665345632642
2024,388,18,3,040101,04,0401,Lima Metropolitana,4,1756.3412066187416,7025.364826474966,22728.78482372883,473.51635049435066,417.8940011744983,213.48747462907477,0,0,No pobre,9095.563500411365
2021,50,9,2,210101,21,2101,Callao,4,1621.352912515121,6485.411650060484,9927.50722816795,206.82306725349895,384.1596069387121,253.99672087320792,1,1,Pobre extremo,6482.368966630136
2025,338,15,4,040101,04,0401,Costa rural,4,1531.9336364110031,6127.7345456440125,17417.595099218037,362.8665645670424,465.3469587291786,262.2670464488017,1,0,Pobre no extremo,12307.355879580877
2025,5,8,1,010201,01,0102,Costa urbana,3,1710.5021269328545,5131.506380798563,12896.285372758579,358.23014924329385,428.7721863181165,256.7639419547497,1,0,Pobre no extremo,335685.74689081695
2022,404,19,3,200101,20,2001,Selva rural,5,1277.3343948847987,6386.671974423994,47814.15252566278,796.9025420943797,439.9318969616129,239.42669870098993,0,0,No pobre,133793.99949099496
2025,343,16,2,150101,15,1501,Selva urbana,5,1052.7309844013414,5263.654922006707,7140.079596956799,119.00132661594665,453.20306915244566,269.5718975544406,1,1,Pobre extremo,43558.66115737124
2022,126,6,1,200101,20,2001,Costa urbana,3,810.4765497256399,2431.4296491769196,54324.293722745344,1509.0081589651484,445.5074433001189,204.81978451454142,0,0,No pobre,25174.822715035105
2021,75,6,3,150132,15,1501,Costa rural,7,525.1516387746269,3676.0614714223884,43335.186157449316,515.8950733029681,453.0856870814612,260.7034174475138,0,0,No pobre,20198.698194643788
2024,165,3,3,040101,04,0401,Selva urbana,4,1159.0821495291002,4636.328598116401,171077.87934648406,3564.1224863850844,456.2281684577858,229.93997031996383,0,0,No pobre,40527.2034982848
2024,278,10,2,200101,20,2001,Costa urbana,4,1790.0354568567677,7160.141827427071,136313.3010354315,2839.8604382381563,438.91515305646107,231.85856440938264,0,0,No pobre,20520.568195902386
2024,442,1,1,250101,25,2501,Sierra rural,2,1228.5653990854175,2457.130798170835,13119.704903929169,546.6543709970487,416.56378309077564,208.93164255558963,0,0,No pobre,20382.78670881333
2025,324,14,2,010101,01,0101,Lima Metropolitana,4,1847.25303726921,7389.01214907684,81893.37505726713,1706.111980359732,404.31421497163427,202.34030820476798,0,0,No pobre,59082.62062360326
2021,477,4,3,010101,01,0101,Costa rural,2,778.1430022270108,1556.2860044540216,20091.970164708826,837.1654235295345,470.2903236652787,222.16398282486034,0,0,No pobre,13234.727987880495
2025,300,12,3,250101,25,2501,Sierra rural,3,1420.7621478022456,4262.286443406737,35383.85761039588,982.8849336221077,476.99248446382205,212.23974731797506,0,0,No pobre,3039.718799901003
2025,290,6,4,200101,20,2001,Sierra rural,3,1332.4643976790182,3997.3931930370545,126510.69792490613,3514.1860534696148,415.7662755098209,233.8337129249918,0,0,No pobre,20232.71383146093
2021,77,11,3,210101,21,2101,Costa rural,5,1373.8243037192096,6869.121518596048,13597.01871752875,226.61697862547916,391.23107290723004,210.31313682376404,1,0,Pobre no extremo,155122.8298511906
2021,298,12,3,250101,25,2501,Selva urbana,2,1325.579823257506,2651.159646515012,28292.334923852282,1178.847288493845,402.2537327116431,209.6549415551593,0,0,No pobre,7127.43713590327
2021,137,10,1,150101,15,1501,Selva rural,5,521.1438823805219,2605.7194119026094,4662.606938266616,77.71011563777694,447.06673459871894,261.38852888726944,1,1,Pobre extremo,10526.152940425072
2021,106,18,1,130101,13,1301,Sierra urbana,3,372.822706737983,1118.468120213949,59822.62963341012,1661.73971203917,397.2933369958331,264.4906290928486,0,0,No pobre,19214.960892790892
2024,95,7,4,010201,01,0102,Sierra urbana,3,1959.3936868409114,5878.181060522735,178507.31899719796,4958.536638811054,458.0122273060988,267.49513460115367,0,0,No pobre,7347.49040121804
2023,135,7,4,210101,21,2101,Selva rural,5,186.06074480075227,930.3037240037613,45068.13498502682,751.1355830837804,472.30302398747136,247.63517100117383,0,0,No pobre,163335.62345783663
2023,68,11,4,150101,15,1501,Callao,4,988.6993253537136,3954.7973014148542,92162.06443615438,1920.0430090865495,476.3651515078847,253.97115533571085,0,0,No pobre,40047.27311918942
2021,147,4,2,200101,20,2001,Costa rural,3,907.6526025695376,2722.957807708613,75188.64860851657,2088.5735724587935,380.93255059748907,258.50493286698406,0,0,No pobre,6133.30286097153
2023,490,1,2,210101,21,2101,Sierra urbana,3,784.0360206086449,2352.108061825935,14243.53644444403,395.6537901234453,475.81541649544164,246.1245441384465,1,0,Pobre no extremo,31952.040785666726
2023,478,13,4,210101,21,2101,Selva rural,3,1585.769321795748,4757.307965387245,36018.25801037288,1000.5071669548023,454.0194419129618,223.11701732917703,0,0,No pobre,34919.3607830762
2021,159,18,2,200101,20,2001,Costa urbana,4,1516.1655477937802,6064.662191175121,41961.73931748398,874.2029024475829,388.40502322638025,210.9470898903467,0,0,No pobre,28529.52235910515
2023,384,9,3,250101,25,2501,Selva rural,3,1819.9273547068867,5459.78206412066,9416.605602586154,261.5723778496154,421.52404687787265,216.6091315010705,1,0,Pobre no extremo,30775.352948464053
2025,163,9,4,200101,20,2001,Callao,5,851.4262997551522,4257.1314987757605,98735.0927104981,1645.5848785083015,450.0045474579509,258.8289835983474,0,0,No pobre,31912.11987298927
2022,441,9,4,040101,04,0401,Selva urbana,4,1171.9411030659735,4687.764412263894,17081.900029491426,355.87291728107135,475.66854926610495,248.72680668007888,1,0,Pobre no extremo,49505.06192086388
2022,341,10,2,040101,04,0401,Lima Metropolitana,2,1795.3833899500291,3590.7667799000583,22133.76461259898,922.2401921916243,396.41413936113923,231.90570344683061,0,0,No pobre,52754.410019754636
2021,189,2,1,010201,01,0102,Selva rural,3,1988.3113194252303,5964.933958275691,21220.440023798954,589.4566673277487,392.7733281926954,202.0583554026317,0,0,No pobre,8127.371920496261
2024,415,6,4,010101,01,0101,Sierra rural,3,1941.6592884941745,5824.977865482523,27826.249683694085,772.9513801026135,427.23470532618785,218.63430593037182,0,0,No pobre,38567.96865106334
2021,339,15,2,050101,05,0501,Sierra rural,3,1463.903355410595,4391.710066231784,375761.50189068925,10437.81949696359,476.80988937384893,251.02282451880347,0,0,No pobre,43539.46285981623
2024,95,3,2,010201,01,0102,Lima Metropolitana,4,372.13235983934123,1488.529439357365,15585.83938709495,324.7049872311448,477.13792152580106,235.8671064566516,1,0,Pobre no extremo,19726.740251707066
2022,181,11,1,010201,01,0102,Costa rural,4,144.05342240675054,576.2136896270022,6692.393936749323,139.42487368227756,402.79147410529094,230.4872746137715,1,1,Pobre extremo,199982.3859458797
2021,288,6,4,130101,13,1301,Sierra rural,5,1667.9148771655896,8339.574385827947,31171.058111494673,519.5176351915778,411.9347147971457,221.95755805459353,0,0,No pobre,33417.82205281235
2025,322,3,1,050101,05,0501,Costa urbana,2,1697.7898465344683,3395.5796930689366,12373.281846992119,515.5534102913383,470.80319856446545,242.48522814039168,0,0,No pobre,60112.11782451227
2023,187,11,3,010101,01,0101,Selva rural,6,1518.085725700592,9108.514354203553,18624.665527923786,258.6759101100526,453.4841490852064,267.64697697601827,1,1,Pobre extremo,23178.640403768015
2024,372,15,1,210101,21,2101,Lima Metropolitana,3,631.8546233985182,1895.5638701955547,46997.54451615494,1305.4873476709706,477.23164286576184,263.0786550308254,0,0,No pobre,26791.783096371975
2023,138,13,1,050101,05,0501,Costa urbana,3,1315.6539332372006,3946.961799711602,10109.21796731262,280.81161020312834,469.31483630155543,202.13485566589975,1,0,Pobre no extremo,51151.855857915885
2023,130,10,2,130101,13,1301,Costa rural,4,700.872039449021,2803.488157796084,19385.995675910774,403.8749099148078,401.50960503137435,233.6667675808412,0,0,No pobre,9094.769828510669
2021,194,6,1,150132,15,1501,Sierra rural,5,956.231667591757,4781.158337958785,35020.034604753695,583.6672434125616,455.9726859412683,223.06285086328634,0,0,No pobre,76496.5361928442
2023,316,15,3,010201,01,0102,Lima Metropolitana,3,826.6266614629699,2479.8799843889096,13352.879471545843,370.9133186540512,384.85652315601163,235.74232636378608,1,0,Pobre no extremo,10602.368069664499
2025,472,18,2,200101,20,2001,Sierra urbana,5,1835.9161649011057,9179.580824505529,25961.946403781683,432.69910672969473,461.7832778741474,242.43495829102002,1,0,Pobre no extremo,87664.671216439
2023,273,18,3,010201,01,0102,Selva rural,6,544.8989284133636,3269.3935704801816,35002.56742186365,486.14676974810624,440.15567624446084,214.00196475982827,0,0,No pobre,27767.543078415147
2021,352,7,1,250101,25,2501,Sierra urbana,5,1197.4607186901253,5987.303593450626,24229.16267196763,403.8193778661272,475.6100962636462,254.70976486837793,1,0,Pobre no extremo,285134.8567518049
2025,144,15,3,130101,13,1301,Selva urbana,1,785.8649051643324,785.8649051643324,30984.23640677575,2582.019700564646,476.00324554690786,233.25476350601764,0,0,No pobre,97041.49239135135
2022,16,18,3,010201,01,0102,Costa rural,5,1359.835112637029,6799.175563185145,37091.76598386647,618.1960997311078,385.0815109024355,269.44042384287724,0,0,No pobre,97529.77655114839
2023,302,18,1,010201,01,0102,Selva urbana,5,1172.6699682372025,5863.349841186013,14677.692331433478,244.6282055238913,396.05214855557676,201.7589170020493,1,0,Pobre no extremo,41978.74942301617
2021,423,9,1,050101,05,0501,Sierra urbana,4,1855.557594595287,7422.230378381148,7176.992899019766,149.5206853962451,428.42070473186914,213.2803423330521,1,1,Pobre extremo,99665.41349219506
2022,245,2,2,050101,05,0501,Sierra urbana,5,293.06308823230506,1465.3154411615253,10593.469269853776,176.5578211642296,467.9493524946149,248.27408603922788,1,1,Pobre extremo,77658.12208421633
2022,415,8,2,200101,20,2001,Sierra urbana,7,519.2175955378505,3634.523168764953,9151.261659860102,108.94359118881073,461.44451422960566,248.6625822567891,1,1,Pobre extremo,5235.473267484587
2024,107,2,4,150101,15,1501,Selva urbana,3,1556.061131279006,4668.183393837018,81569.3222283387,2265.814506342742,476.43700263517786,240.75317570918614,0,0,No pobre,15201.182711970761
2025,88,11,2,250101,25,2501,Lima Metropolitana,2,800.6949958002025,1601.389991600405,5639.7142681366595,234.98809450569414,441.80841171113406,268.037202008344,1,1,Pobre extremo,14324.151622858642
2023,129,7,1,200101,20,2001,Costa rural,4,414.9891938345754,1659.9567753383017,47348.406158516365,986.4251283024242,405.65635195616204,229.07205061039534,0,0,No pobre,16684.566493000635
2021,395,6,3,150132,15,1501,Callao,1,1056.3103925662367,1056.3103925662367,14528.90192884891,1210.7418274040758,382.5106639505177,229.19257684472635,0,0,No pobre,28089.00901411646
2024,375,10,3,250101,25,2501,Selva rural,3,1339.0699170616338,4017.2097511849015,68312.08469195182,1897.5579081097728,402.29264907205487,263.7333454256921,0,0,No pobre,60872.601533935485
2025,341,5,2,050101,05,0501,Callao,4,185.17075689164733,740.6830275665893,18400.621931332123,383.3462902360859,447.5273197953625,237.69092473977676,1,0,Pobre no extremo,117574.62419615446
2024,4,11,2,010201,01,0102,Lima Metropolitana,3,654.0815897981449,1962.2447693944348,27663.744551500593,768.4373486527943,472.6274823343013,224.76093631099204,0,0,No pobre,66566.5411947082
2025,327,1,1,210101,21,2101,Selva rural,4,1637.9028216224815,6551.611286489926,42857.600860098624,892.866684585388,412.0903667308265,250.32565900837014,0,0,No pobre,125602.29660804337
2025,410,2,3,010201,01,0102,Costa urbana,5,1088.464676559369,5442.323382796845,83185.73071008913,1386.4288451681523,467.57043302892953,243.37694327312693,0,0,No pobre,12628.076607374114
2023,367,1,4,010101,01,0101,Callao,3,167.220508829308,501.661526487924,16105.363727441701,447.37121465115837,419.48982483411567,221.4487035200614,0,0,No pobre,21944.70599478349
2025,306,19,4,200101,20,2001,Costa urbana,6,635.7069100219317,3814.24146013159,15447.4643941113,214.54811658487918,410.82712493685506,220.8550158656851,1,1,Pobre extremo,27991.02383904058
2024,396,2,2,250101,25,2501,Callao,2,1314.3672463609007,2628.7344927218014,42626.48864616696,1776.10369359029,430.8844242805818,227.69289582690783,0,0,No pobre,18631.624417716903
2025,95,4,4,210101,21,2101,Sierra urbana,5,478.78299219824703,2393.914960991235,6449.109301553057,107.48515502588428,424.22734924096153,205.01340459621355,1,1,Pobre extremo,11818.370441387679
2023,209,12,1,010101,01,0101,Costa rural,5,1672.0436718168871,8360.218359084436,5734.271997627976,95.57119996046626,471.3799868517018,265.98318317413475,1,1,Pobre extremo,53645.905587799745
2023,225,18,4,150132,15,1501,Callao,3,1385.494223458962,4156.482670376887,37431.675782073224,1039.768771724256,426.82569474081265,212.81140281376656,0,0,No pobre,17975.98760884508
2024,459,1,2,010201,01,0102,Costa rural,3,995.6202158008069,2986.860647402421,49133.469342985554,1364.81859286071,407.73353872230757,213.56770116294044,0,0,No pobre,81374.05725237797
2022,348,1,1,150101,15,1501,Sierra rural,3,1839.6851840268912,5519.055552080674,36331.425571999534,1009.2062658888759,464.2565577501904,245.29268835119544,0,0,No pobre,10695.4556102139
2022,480,14,3,130101,13,1301,Sierra rural,5,844.4214647568572,4222.107323784286,24639.25437089058,410.65423951484297,479.87495116595665,250.6972933109868,1,0,Pobre no extremo,86132.46697571187
2025,321,4,1,010101,01,0101,Lima Metropolitana,5,546.639480071762,2733.1974003588102,16570.796271547875,276.17993785913126,444.8171419181324,251.57848217199106,1,0,Pobre no extremo,45020.453160406425
2021,47,5,2,010201,01,0102,Callao,3,1356.6656858007316,4069.9970574021945,112285.83557954009,3119.0509883205577,405.0461368936359,226.25525164529617,0,0,No pobre,45031.98222827293
2025,476,11,2,010201,01,0102,Selva urbana,4,1189.2608561932823,4757.043424773129,126237.33584303627,2629.9444967299223,403.8815077013179,261.1330267036948,0,0,No pobre,46345.34724696396
2024,181,13,4,250101,25,2501,Callao,2,736.9710117693278,1473.9420235386556,29639.211260074044,1234.9671358364185,385.770669621526,238.0799343223631,0,0,No pobre,33481.6243524929
2024,106,16,4,250101,25,2501,Callao,4,752.9626665155566,3011.8506660622265,14539.755329778945,302.9115693703947,387.7293038514085,230.7011286513789,1,0,Pobre no extremo,34071.86137519333
2024,199,13,3,150101,15,1501,Sierra rural,7,856.5995864047934,5996.197104833554,10848.716540473271,129.15138738658658,471.49830951827624,256.72705226059674,1,1,Pobre extremo,27718.17415623021
2024,386,2,3,010101,01,0101,Lima Metropolitana,2,653.1632782108016,1306.3265564216033,39658.7497762051,1652.447907341879,389.6487107049551,217.04928744566865,0,0,No pobre,48972.44332908834
2024,106,16,2,050101,05,0501,Selva rural,6,1449.4586720857526,8696.752032514516,8904.938648236612,123.67970344773072,428.4343848276779,260.21298104048634,1,1,Pobre extremo,63050.841359729086
2023,280,6,2,250101,25,2501,Selva rural,5,1337.58096959729,6687.9048479864505,9092.427889041646,151.54046481736077,449.8121779693178,237.71805761954494,1,1,Pobre extremo,23097.653248436072
